,id,BoroCT2010,n_report,DBN,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,have_sold
1546,19026,3112600,0.0,28Q505,1556.2864335,4.0,1292.63754161,15,3321,Meeting Target,0.045,0.291,0.309,0.322,0.532369792461,0.772357702255,30791,3783,GROCERY SUPERMARKET,40.666359529,-73.892422877,0
1547,18549,3112600,0.0,20K505,2222.34747643,0.0,651.260966882,15,3177,Approaching Target,0.189,0.117,0.303,0.385,0.435001581907,0.760465860367,30791,3783,GROCERY SUPERMARKET,40.666713458,-73.891467277,0
1548,15276,3112600,1.0,06M348,1000.12545656,1.0,471.881572661,15,390,Approaching Target,0.008,0.041,0.941,0.005,0.436842113733,1.0,30791,3783,GROCERY SUPERMARKET,40.66378214,-73.890895,1
1549,15473,3112600,1.0,21K690,2178.67542013,1.0,1584.06453853,15,663,Approaching Target,0.507,0.041,0.275,0.172,0.501635789871,0.750272631645,30791,3783,GROCERY SUPERMARKET,40.664848604,-73.894036114,1
1550,17968,3112800,0.0,27Q314,2132.04909384,1.0,2169.18640625,6,175,,0.034,0.371,0.28,0.251,0.474285721779,0.582857131958,36786,3822,GROCERY SUPERMARKET,40.66134734,-73.894291366,0
1551,14824,3112800,0.0,11X509,4706.92516498,1.0,3338.05915582,6,361,Approaching Target,0.119,0.097,0.593,0.166,0.498614966869,0.975069224834,36786,3822,GROCERY SUPERMARKET,40.661414941,-73.893998817,0
1552,16321,3112800,0.0,14K558,1610.49441214,1.0,1076.9279111,6,573,Exceeding Target,0.044,0.302,0.607,0.033,0.247818499804,0.818499147892,36786,3822,GROCERY SUPERMARKET,40.661414941,-73.893998817,0
1553,17709,3112800,1.0,06M348,1404.53108644,1.0,883.624912956,6,390,Approaching Target,0.008,0.041,0.941,0.005,0.436842113733,1.0,36786,3822,GROCERY SUPERMARKET,40.662860479,-73.891497686,1
1554,12908,3112800,0.0,10X141,4152.8968301,1.0,138.108883417,6,695,Meeting Target,0.235,0.112,0.576,0.073,0.47850599885,0.525017619133,36786,3822,DELICATESSEN,40.663227346,-73.889971898,0
1555,15942,3112800,0.0,32K168,3489.30842481,1.0,1975.3233628,6,268,Meeting Target,0.049,0.511,0.399,0.026,0.373134315014,0.910447776318,36786,3822,GROCERY SUPERMARKET,40.662124751,-73.892358911,0
1556,13183,3113000,0.0,84K648,1290.73251842,0.0,1333.71069673,4,141,,0.0,0.894,0.064,0.0,0.516806721687,0.716386556625,29722,3891,GROCERY SUPERMARKET,40.659391575,-73.89342654,0
1557,19911,3113000,2.0,10X353,2791.13212387,0.0,1991.00596858,4,289,,0.014,0.277,0.682,0.003,0.487889260054,0.79930794239,29722,3891,GROCERY SUPERMARKET,40.660804202,-73.89534967,1
1558,13692,3113000,1.0,18K633,1784.06383786,0.0,317.042236433,4,413,Meeting Target,0.012,0.806,0.131,0.036,0.661016941071,0.89104115963,29722,3891,GROCERY SUPERMARKET,40.660945231,-73.895058287,1
1559,17092,3113000,0.0,21K540,602.337926602,0.0,359.123781431,4,2225,Meeting Target,0.129,0.313,0.208,0.333,0.465168535709,0.773033678532,29722,3891,GROCERY SUPERMARKET,40.660945231,-73.895058287,0
1560,17759,3113400,0.0,01M450,423.10354069,0.0,1020.17576441,3,386,Meeting Target,0.083,0.21,0.554,0.122,0.493353039026,0.68980795145,15682,2838,CONVENIENCE STORE,40.668763632,-73.899146979,0
1561,10826,3113400,0.0,08X367,1898.88266881,0.0,8601.19797587,3,402,Approaching Target,0.017,0.323,0.592,0.057,0.39411765337,0.748529434204,15682,2838,GROCERY SUPERMARKET,40.668763632,-73.899146979,0
1562,13013,3113400,1.0,20K490,2719.15258934,1.0,760.947458752,3,4408,Approaching Target,0.345,0.047,0.302,0.281,0.464836657047,0.673094391823,15682,2838,GROCERY SUPERMARKET,40.668433786,-73.901346341,1
1563,18211,3114600,1.0,27Q650,1260.76647733,0.0,1631.18046935,10,973,Exceeding Target,0.139,0.097,0.341,0.34,0.322713255882,0.660842776299,39231,2998,GROCERY SUPERMARKET,40.677897919,-73.892714399,1
