BoroCT2010,n_report,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,class
1010400,0,1313.81529,0,921.4691378,11,486,Meeting Target,0.01,0.245,0.704,0.019,0.549222827,0.901554406,85455,966,DELICATESSEN,40.75924108,-73.97837604,1
1010400,0,1707.805873,0,648.9468066,11,451,Meeting Target,0.095,0.264,0.503,0.095,0.212860316,0.716186225,85455,966,GROCERY SUPERMARKET,40.76063568,-73.97821805,1
1010400,0,1096.745723,0,4035.847181,11,400,Meeting Target,0.01,0.253,0.7,0.025,0.159999996,1,85455,966,CONVENIENCE STORE,40.76044334,-73.97776201,1
1011201,0,1145.011305,0,990.6122885,4,470,Exceeding Target,0.047,0.24,0.619,0.077,0.657446802,0.882978737,122125,992,GROCERY SUPERMARKET,40.76389442,-73.97623702,1
1011201,0,1931.226967,0,3587.710418,4,361,Exceeding Target,0.044,0.136,0.213,0.593,0.48017621,0.823788524,122125,992,CONVENIENCE STORE,40.76401816,-73.97735573,1
1011201,0,3610.10974,0,16522.25152,4,485,Meeting Target,0.012,0.814,0.091,0.039,0.459793806,0.71752578,122125,992,GROCERY SUPERMARKET,40.76401816,-73.97735573,1
1011201,0,2129.465741,0,732.6679553,4,379,Exceeding Target,0.021,0.338,0.612,0.013,0.707123995,0.875989437,122125,992,GROCERY SUPERMARKET,40.76511211,-73.97655115,1
1011202,0,1214.167663,0,1304.354493,2,452,Meeting Target,0.064,0.285,0.604,0.035,0.573008835,1,116058,441,GROCERY SUPERMARKET,40.76285912,-73.97155828,1
1011202,1,1802.679685,0,1571.134999,2,573,Exceeding Target,0.044,0.302,0.607,0.033,0.2478185,0.818499148,116058,441,GROCERY SUPERMARKET,40.76250269,-73.97425398,2
1011203,0,1340.820311,1,115.995033,3,5534,Exceeding Target,0.21,0.076,0.074,0.604,0.412721366,0.605529428,83571,1401,GROCERY SUPERMARKET,40.76012276,-73.96758174,1
1011203,0,5257.998613,0,5587.747035,3,589,Approaching Target,0.019,0.649,0.195,0.104,0.46349746,0.728353143,83571,1401,CONVENIENCE STORE,40.76119162,-73.97087509,1
1011203,0,901.743645,0,370.8969328,3,206,,0.019,0.471,0.466,0.015,0.490291268,0.776699007,83571,1401,GROCERY SUPERMARKET,40.76204364,-73.96962492,1
1011300,0,2471.663718,0,8096.082861,34,3566,Meeting Target,0.05,0.188,0.469,0.274,0.49971956,0.710039258,113618,117,RESTAURANT/ATUPA,40.7536716,-73.98857489,1
1011300,0,3887.94711,0,1439.355019,34,333,,0.249,0.387,0.216,0.141,0.492492497,0.687687695,113618,117,GROCERY SUPERMARKET,40.7540504,-73.98699442,1
1011300,0,654.9648133,0,1026.897282,34,924,Approaching Target,0.024,0.683,0.224,0.028,0.733766258,0.739177465,113618,117,GROCERY SUPERMARKET,40.75410051,-73.98689652,1
1011300,0,1751.744521,0,760.2819482,34,427,Approaching Target,0.009,0.26,0.7,0.009,0.674603164,1,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,249.7122691,0,897.6202702,34,335,Approaching Target,0.018,0.316,0.636,0.018,0.543283582,0.892537296,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,2738.508925,0,849.6971614,34,972,Meeting Target,0.014,0.301,0.674,0.002,0.557613194,0.759259284,113618,117,DELICATESSEN,40.75440591,-73.98907745,1
1011300,0,6854.234606,0,24864.85754,34,1493,Approaching Target,0.212,0.265,0.447,0.066,0.477561951,0.680509031,113618,117,DELICATESSEN,40.75440591,-73.98907745,1
1011300,0,11996.46615,0,66761.76893,34,3907,Meeting Target,0.79,0.019,0.125,0.051,0.48323521,0.288968503,113618,117,STAND,40.75440591,-73.98907745,1
1011300,0,4288.290857,0,1265.498696,34,289,,0.014,0.277,0.682,0.003,0.48788926,0.799307942,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,9059.349579,0,9089.799585,34,4408,Approaching Target,0.345,0.047,0.302,0.281,0.464836657,0.673094392,113618,117,CONVENIENCE STORE,40.75440591,-73.98907745,1
1011300,0,1764.81704,0,1186.457965,34,395,Approaching Target,0.005,0.243,0.734,0.01,0.460759491,1,113618,117,DELICATESSEN,40.75440591,-73.98907745,1
1011300,0,3456.400121,0,5160.479661,34,589,Approaching Target,0.019,0.649,0.195,0.104,0.46349746,0.728353143,113618,117,CONVENIENCE STORE,40.75440591,-73.98907745,1
1011300,0,861.9182699,0,1308.660994,34,219,Approaching Target,0,0.594,0.397,0.005,0.491541356,0.859022558,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,707.239679,0,1034.332883,34,195,,0.021,0.185,0.759,0.021,0.420512825,0.86153847,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,6500.200563,0,2664.068626,34,330,Approaching Target,0.021,0.391,0.509,0.067,0.378787875,0.74848485,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,1088.409322,0,149.4770601,34,1575,Approaching Target,0.072,0.056,0.757,0.112,0.377777785,0.811428547,113618,117,CONVENIENCE STORE,40.75440591,-73.98907745,1
1011300,0,3144.505229,0,322.7249559,34,361,Approaching Target,0.119,0.097,0.593,0.166,0.498614967,0.975069225,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,922.9424799,0,350.584365,34,386,Meeting Target,0.008,0.687,0.269,0.013,0.508333325,0.765277803,113618,117,CONVENIENCE STORE,40.75440591,-73.98907745,1
1011300,0,824.8113517,0,1829.175623,34,680,Approaching Target,0.01,0.31,0.659,0.004,0.485294104,0.838235319,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,2791.659241,0,412.7802197,34,381,Approaching Target,0.016,0.619,0.307,0.034,0.475065619,0.740157485,113618,117,GROCERY SUPERMARKET,40.75451894,-73.9880469,1
1011300,0,1855.040756,0,1256.963304,34,178,,0.045,0.219,0.41,0.202,0.438202262,0.69101125,113618,117,GROCERY SUPERMARKET,40.75480902,-73.99151656,1
1011300,0,2156.296693,0,4963.135149,34,440,Not Meeting Target,0.007,0.332,0.616,0.027,0.329545468,1,113618,117,CONVENIENCE STORE,40.75493154,-73.99143394,1
1011300,0,1330.670474,0,1179.322322,34,234,Approaching Target,0.013,0.35,0.624,0.004,0.427350432,0.846153855,113618,117,GROCERY SUPERMARKET,40.75506208,-73.99133487,1
1011300,0,1861.259253,0,23.99467995,34,415,Exceeding Target,0.092,0.424,0.422,0.046,0.508100152,0.684830606,113618,117,GROCERY SUPERMARKET,40.75583133,-73.99076492,1
1011300,0,1423.290931,0,404.1499287,34,65,,0,0.8,0.2,0,0.517948747,0.686324775,113618,117,GROCERY SUPERMARKET,40.75440591,-73.98907745,1
1011300,0,1921.907264,1,1167.844227,34,1314,Meeting Target,0.065,0.09,0.769,0.072,0.457382053,0.786910176,113618,117,TOBACCO RETAIL,40.75453992,-73.98675782,1
1011300,0,942.455364,1,132.1748352,34,761,Meeting Target,0.079,0.222,0.466,0.221,0.406044692,0.755584776,113618,117,GROCERY SUPERMARKET,40.75604151,-73.98702947,1
1011300,0,2243.719332,0,505.9055781,34,324,,,,,,0.543209851,0.756172836,113618,117,STAND,40.75396065,-73.98694663,1
1011300,0,979.6384158,0,838.9964929,34,274,Meeting Target,0.011,0.172,0.803,0.011,0.463503659,0.959854007,113618,117,OTHER,40.7540504,-73.98699442,1
1011300,0,2487.882152,0,1045.403814,34,211,Meeting Target,0.118,0.137,0.555,0.19,0.47950089,0.358288765,113618,117,GROCERY SUPERMARKET,40.75451894,-73.9880469,1
1011300,0,2032.471546,0,10421.94457,34,459,Approaching Target,0.004,0.745,0.126,0.087,0.453159034,0.738562107,113618,117,GROCERY SUPERMARKET,40.75480902,-73.99151656,1
1011300,0,4704.806227,0,24.9433096,34,4408,Approaching Target,0.345,0.047,0.302,0.281,0.464836657,0.673094392,113618,117,DELICATESSEN,40.75440591,-73.98907745,1
1011300,0,849.1864976,0,1131.34697,34,362,Approaching Target,0.011,0.265,0.702,0.014,0.463541657,1,113618,117,GROCERY SUPERMARKET,40.75307018,-73.98721704,1
1011300,0,1668.820672,0,2653.010787,34,175,,0.034,0.371,0.28,0.251,0.474285722,0.582857132,113618,117,GROCERY SUPERMARKET,40.75314128,-73.98727415,1
1011402,0,4001.428018,0,806.0860688,3,1277,Meeting Target,0.171,0.078,0.551,0.176,0.436178535,0.742364943,102432,2397,GROCERY SUPERMARKET,40.76404951,-73.96689712,1
1011402,0,1911.451685,0,30.16712825,3,324,,,,,,0.543209851,0.756172836,102432,2397,STAND,40.76435095,-73.96659297,1
1011402,0,529.6469116,0,803.1814343,3,311,Approaching Target,0.125,0.486,0.334,0.039,0.479423881,0.679012358,102432,2397,GROCERY SUPERMARKET,40.76374997,-73.96711624,1
1013000,0,4318.351592,0,386.5491901,3,663,Approaching Target,0.507,0.041,0.275,0.172,0.50163579,0.750272632,232768,4195,GROCERY SUPERMARKET,40.77292971,-73.96463715,1
1013000,0,3693.789771,0,1898.020415,3,3553,Meeting Target,0.269,0.038,0.288,0.395,0.424430072,0.729805827,232768,4195,GROCERY SUPERMARKET,40.77412671,-73.96289934,1
1013000,0,4518.054326,0,13625.59835,3,650,Meeting Target,0.191,0.309,0.443,0.054,0.250769228,0.667692304,232768,4195,GROCERY SUPERMARKET,40.77417298,-73.9636511,1
1014000,0,1256.977829,0,881.9279779,7,452,Meeting Target,0.04,0.232,0.701,0.018,0.460177004,0.836283207,154920,7813,CONVENIENCE STORE,40.7739717,-73.95957408,1
1014000,0,4219.279256,0,829.4533033,7,178,,0.045,0.219,0.41,0.202,0.438202262,0.69101125,154920,7813,GROCERY SUPERMARKET,40.7745684,-73.95914113,1
1014000,0,3090.261594,0,1580.214719,7,441,Meeting Target,0.009,0.236,0.753,0.002,0.49253732,0.910447776,154920,7813,GROCERY SUPERMARKET,40.775368,-73.95864117,1
1014000,0,1941.226592,0,273.2729801,7,451,Meeting Target,0.095,0.264,0.503,0.095,0.212860316,0.716186225,154920,7813,CONVENIENCE STORE,40.77658016,-73.95565672,1
1014000,0,594.4968263,0,673.3630365,7,345,Meeting Target,0.017,0.275,0.696,0.006,0.523333311,0.894999981,154920,7813,CONVENIENCE STORE,40.77793851,-73.95676551,1
1014000,2,3932.984501,0,985.4976758,7,417,Meeting Target,0.024,0.444,0.47,0.053,0.393285364,0.705035985,154920,7813,GROCERY SUPERMARKET,40.77484767,-73.9590213,2
1014000,0,628.8941681,0,2931.429883,7,420,Approaching Target,0.024,0.448,0.512,0.005,0.454761893,0.835714281,154920,7813,GROCERY SUPERMARKET,40.77799162,-73.95664392,1
1014601,0,3677.084989,0,10545.26895,9,245,,0.033,0.841,0.057,0.012,0.002028398,0.53549695,89846,4274,GROCERY SUPERMARKET,40.77665126,-73.95259486,1
1014601,0,424.9252349,0,539.0883533,9,323,Meeting Target,0.015,0.127,0.842,0.012,0.486062706,0.909407675,89846,4274,GROCERY SUPERMARKET,40.77684558,-73.95242548,1
1014601,0,2687.050067,0,1164.726843,9,205,Meeting Target,0.024,0.132,0.78,0.054,0.540259719,0.851948023,89846,4274,GROCERY SUPERMARKET,40.77684558,-73.95242548,1
1014601,0,5405.543239,0,11672.35121,9,367,Meeting Target,0.014,0.883,0.068,0.027,0.47495681,0.732297063,89846,4274,DELICATESSEN,40.77684558,-73.95242548,1
1014601,0,1298.589742,0,3054.190502,9,342,Exceeding Target,0.018,0.547,0.085,0.316,0.552334964,0.766505659,89846,4274,CONVENIENCE/GAS,40.77684558,-73.95242548,1
1014601,0,1655.383713,0,330.14723,9,475,Exceeding Target,0.269,0.099,0.225,0.352,0.307368428,0.431578934,89846,4274,CONVENIENCE STORE,40.77692982,-73.95246665,1
1014601,0,1678.53046,0,72.0558122,9,761,Meeting Target,0.079,0.222,0.466,0.221,0.406044692,0.755584776,89846,4274,GROCERY SUPERMARKET,40.77796289,-73.95398299,1
1014601,0,3212.996164,0,2066.889423,9,128,,0.016,0.117,0.578,0.008,0.6015625,0.546875,89846,4274,GROCERY SUPERMARKET,40.77778552,-73.95160702,1
1014601,0,1101.879821,0,1176.593526,9,234,Approaching Target,0.013,0.35,0.624,0.004,0.427350432,0.846153855,89846,4274,GROCERY SUPERMARKET,40.77684558,-73.95242548,1
1014602,0,1455.148534,0,713.2364151,4,288,Approaching Target,0.024,0.038,0.913,0.024,0.479166657,0.90625,100410,7904,CONVENIENCE STORE,40.77735482,-73.95042594,1
